S.no,Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
73,2017,All Causes,All causes,Maine,"14,676",771.6
74,2017,All Causes,All causes,Maryland,"49,926",718.1
75,2017,All Causes,All causes,Massachusetts,"58,803",677.1
76,2017,All Causes,All causes,Michigan,"97,602",783.5
77,2017,All Causes,All causes,Minnesota,"44,371",656.4
78,2017,All Causes,All causes,Mississippi,"32,280",951.3
79,2017,All Causes,All causes,Missouri,"61,876",820.1
80,2017,All Causes,All causes,Montana,"10,200",757.5
81,2017,All Causes,All causes,Nebraska,"16,878",726
82,2017,All Causes,All causes,Nevada,"24,657",765.5
83,2017,All Causes,All causes,New Hampshire,"12,504",717.3
84,2017,All Causes,All causes,New Jersey,"74,846",667.5
85,2017,All Causes,All causes,New Mexico,"18,673",754.7
86,2017,All Causes,All causes,New York,"155,358",623.6
87,2017,All Causes,All causes,North Carolina,"93,157",785.6
88,2017,All Causes,All causes,North Dakota,"6,415",692.7
89,2017,All Causes,All causes,Ohio,"123,648",849.7
90,2017,All Causes,All causes,Oklahoma,"40,452",902.4
91,2017,All Causes,All causes,Oregon,"36,624",717.2
92,2017,All Causes,All causes,Pennsylvania,"135,656",777.3
93,2017,All Causes,All causes,Rhode Island,"10,157",713.4
94,2017,All Causes,All causes,South Carolina,"49,441",828
95,2017,All Causes,All causes,South Dakota,"7,996",736.6
96,2017,All Causes,All causes,Tennessee,"70,096",897.1
97,2017,All Causes,All causes,Texas,"198,106",735.7
98,2017,All Causes,All causes,Utah,"18,035",700.1
99,2017,All Causes,All causes,Vermont,"6,007",714.9
100,2017,All Causes,All causes,Virginia,"68,579",719.4
101,2017,All Causes,All causes,Washington,"56,995",688.6
102,2017,All Causes,All causes,West Virginia,"23,276",957.1
103,2017,All Causes,All causes,Wisconsin,"52,681",722
104,2017,All Causes,All causes,Wyoming,"4,768",714.6
105,2017,Alzheimer's disease (G30),Alzheimer's disease,United States,"121,404",31
106,2017,Alzheimer's disease (G30),Alzheimer's disease,Alabama,"2,563",45.2
107,2017,Alzheimer's disease (G30),Alzheimer's disease,Alaska,98,22.1
108,2017,Alzheimer's disease (G30),Alzheimer's disease,Arizona,"3,058",35.1
109,2017,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,"1,436",39.4
110,2017,Alzheimer's disease (G30),Alzheimer's disease,California,"16,238",37.1
111,2017,Alzheimer's disease (G30),Alzheimer's disease,Colorado,"1,830",34.2
112,2017,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,"1,077",20.4
113,2017,Alzheimer's disease (G30),Alzheimer's disease,Delaware,377,30.6
114,2017,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,125,17.6
115,2017,Alzheimer's disease (G30),Alzheimer's disease,Florida,"6,980",20.7
116,2017,Alzheimer's disease (G30),Alzheimer's disease,Georgia,"4,290",46
117,2017,Alzheimer's disease (G30),Alzheimer's disease,Hawaii,465,19.7
118,2017,Alzheimer's disease (G30),Alzheimer's disease,Idaho,672,36.6
119,2017,Alzheimer's disease (G30),Alzheimer's disease,Illinois,"4,021",25.6
120,2017,Alzheimer's disease (G30),Alzheimer's disease,Indiana,"2,771",35.3
121,2017,Alzheimer's disease (G30),Alzheimer's disease,Iowa,"1,597",35.3
122,2017,Alzheimer's disease (G30),Alzheimer's disease,Kansas,894,24.3
123,2017,Alzheimer's disease (G30),Alzheimer's disease,Kentucky,"1,765",35
124,2017,Alzheimer's disease (G30),Alzheimer's disease,Louisiana,"2,188",43.7
125,2017,Alzheimer's disease (G30),Alzheimer's disease,Maine,601,30.4
126,2017,Alzheimer's disease (G30),Alzheimer's disease,Maryland,"1,191",17.1
127,2017,Alzheimer's disease (G30),Alzheimer's disease,Massachusetts,"1,841",19.9
128,2017,Alzheimer's disease (G30),Alzheimer's disease,Michigan,"4,428",34.5
129,2017,Alzheimer's disease (G30),Alzheimer's disease,Minnesota,"2,474",34.9
130,2017,Alzheimer's disease (G30),Alzheimer's disease,Mississippi,"1,626",49.6
131,2017,Alzheimer's disease (G30),Alzheimer's disease,Missouri,"2,545",32.3
132,2017,Alzheimer's disease (G30),Alzheimer's disease,Montana,285,20.9
133,2017,Alzheimer's disease (G30),Alzheimer's disease,Nebraska,698,28.5
134,2017,Alzheimer's disease (G30),Alzheimer's disease,Nevada,779,27.3
135,2017,Alzheimer's disease (G30),Alzheimer's disease,New Hampshire,436,24.8
136,2017,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,"2,829",23.6
137,2017,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,572,22.7
138,2017,Alzheimer's disease (G30),Alzheimer's disease,New York,"3,521",13.2
139,2017,Alzheimer's disease (G30),Alzheimer's disease,North Carolina,"4,289",37.3
140,2017,Alzheimer's disease (G30),Alzheimer's disease,North Dakota,387,36.5
141,2017,Alzheimer's disease (G30),Alzheimer's disease,Ohio,"5,117",33.6
142,2017,Alzheimer's disease (G30),Alzheimer's disease,Oklahoma,"1,752",39.4
143,2017,Alzheimer's disease (G30),Alzheimer's disease,Oregon,"1,850",36
144,2017,Alzheimer's disease (G30),Alzheimer's disease,Pennsylvania,"4,213",21.7
145,2017,Alzheimer's disease (G30),Alzheimer's disease,Rhode Island,435,27.3
146,2017,Alzheimer's disease (G30),Alzheimer's disease,South Carolina,"2,549",45
147,2017,Alzheimer's disease (G30),Alzheimer's disease,South Dakota,444,36.9
148,2017,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,"3,522",46.7
149,2017,Alzheimer's disease (G30),Alzheimer's disease,Texas,"9,545",38.5
150,2017,Alzheimer's disease (G30),Alzheimer's disease,Utah,991,42.1
151,2017,Alzheimer's disease (G30),Alzheimer's disease,Vermont,370,42.9
152,2017,Alzheimer's disease (G30),Alzheimer's disease,Virginia,"2,549",27.6
153,2017,Alzheimer's disease (G30),Alzheimer's disease,Washington,"3,710",46
154,2017,Alzheimer's disease (G30),Alzheimer's disease,West Virginia,770,30.6
155,2017,Alzheimer's disease (G30),Alzheimer's disease,Wisconsin,"2,428",31.6
156,2017,Alzheimer's disease (G30),Alzheimer's disease,Wyoming,212,32.7
157,2017,Cerebrovascular diseases (I60-I69),Stroke,United States,"146,383",37.6
158,2017,Cerebrovascular diseases (I60-I69),Stroke,Alabama,"2,931",50
159,2017,Cerebrovascular diseases (I60-I69),Stroke,Alaska,190,35.1
160,2017,Cerebrovascular diseases (I60-I69),Stroke,Arizona,"2,681",30.8
161,2017,Cerebrovascular diseases (I60-I69),Stroke,Arkansas,"1,612",43.8
162,2017,Cerebrovascular diseases (I60-I69),Stroke,California,"16,355",37.6
163,2017,Cerebrovascular diseases (I60-I69),Stroke,Colorado,"1,988",35.8
164,2017,Cerebrovascular diseases (I60-I69),Stroke,Connecticut,"1,403",27.8
165,2017,Cerebrovascular diseases (I60-I69),Stroke,Delaware,571,46.2
166,2017,Cerebrovascular diseases (I60-I69),Stroke,District of Columbia,246,35.9
167,2017,Cerebrovascular diseases (I60-I69),Stroke,Florida,"12,602",38.9
168,2017,Cerebrovascular diseases (I60-I69),Stroke,Georgia,"4,399",43.5
169,2017,Cerebrovascular diseases (I60-I69),Stroke,Hawaii,764,37.5
170,2017,Cerebrovascular diseases (I60-I69),Stroke,Idaho,726,38.5
171,2017,Cerebrovascular diseases (I60-I69),Stroke,Illinois,"6,020",38.9
172,2017,Cerebrovascular diseases (I60-I69),Stroke,Indiana,"3,150",40.2
173,2017,Cerebrovascular diseases (I60-I69),Stroke,Iowa,"1,416",32.8
174,2017,Cerebrovascular diseases (I60-I69),Stroke,Kansas,"1,355",37.7
175,2017,Cerebrovascular diseases (I60-I69),Stroke,Kentucky,"2,050",39.4
176,2017,Cerebrovascular diseases (I60-I69),Stroke,Louisiana,"2,460",47.4
177,2017,Cerebrovascular diseases (I60-I69),Stroke,Maine,736,37.5
178,2017,Cerebrovascular diseases (I60-I69),Stroke,Maryland,"2,820",40.2
179,2017,Cerebrovascular diseases (I60-I69),Stroke,Massachusetts,"2,367",26.5
180,2017,Cerebrovascular diseases (I60-I69),Stroke,Michigan,"5,002",39.3
181,2017,Cerebrovascular diseases (I60-I69),Stroke,Minnesota,"2,250",32.6
182,2017,Cerebrovascular diseases (I60-I69),Stroke,Mississippi,"1,723",51.1
183,2017,Cerebrovascular diseases (I60-I69),Stroke,Missouri,"3,159",41
184,2017,Cerebrovascular diseases (I60-I69),Stroke,Montana,487,35.6
185,2017,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,760,31.5
186,2017,Cerebrovascular diseases (I60-I69),Stroke,Nevada,"1,137",35.9
187,2017,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,514,28.9
188,2017,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,"3,474",30.2
189,2017,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,878,34.8
190,2017,Cerebrovascular diseases (I60-I69),Stroke,New York,"6,264",24.6
191,2017,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,"5,098",43
192,2017,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,337,35.4
193,2017,Cerebrovascular diseases (I60-I69),Stroke,Ohio,"6,425",42.8
194,2017,Cerebrovascular diseases (I60-I69),Stroke,Oklahoma,"1,947",43.3
195,2017,Cerebrovascular diseases (I60-I69),Stroke,Oregon,"2,066",39.9
196,2017,Cerebrovascular diseases (I60-I69),Stroke,Pennsylvania,"6,700",36.5
197,2017,Cerebrovascular diseases (I60-I69),Stroke,Rhode Island,425,29.4
198,2017,Cerebrovascular diseases (I60-I69),Stroke,South Carolina,"2,691",44.9
199,2017,Cerebrovascular diseases (I60-I69),Stroke,South Dakota,414,36.7
200,2017,Cerebrovascular diseases (I60-I69),Stroke,Tennessee,"3,519",45
201,2017,Cerebrovascular diseases (I60-I69),Stroke,Texas,"10,790",41.3
202,2017,Cerebrovascular diseases (I60-I69),Stroke,Utah,888,36.2
203,2017,Cerebrovascular diseases (I60-I69),Stroke,Vermont,249,28.9
204,2017,Cerebrovascular diseases (I60-I69),Stroke,Virginia,"3,555",37.5
205,2017,Cerebrovascular diseases (I60-I69),Stroke,Washington,"3,028",36.9
206,2017,Cerebrovascular diseases (I60-I69),Stroke,West Virginia,"1,058",41.8
207,2017,Cerebrovascular diseases (I60-I69),Stroke,Wisconsin,"2,513",33.5
208,2017,Cerebrovascular diseases (I60-I69),Stroke,Wyoming,190,28.4
209,2017,Chronic lower respiratory diseases (J40-J47),CLRD,United States,"160,201",40.9
210,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,"3,484",57.8
211,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Alaska,204,35.9
212,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Arizona,"3,802",42.7
213,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Arkansas,"2,517",66.7
214,2017,Chronic lower respiratory diseases (J40-J47),CLRD,California,"13,881",32.2
215,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Colorado,"2,604",45.6
216,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Connecticut,"1,471",30.4
217,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Delaware,526,40.8
218,2017,Chronic lower respiratory diseases (J40-J47),CLRD,District of Columbia,137,19.6
219,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Florida,"12,619",39
220,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Georgia,"4,866",46.2
221,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Hawaii,378,19
222,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Idaho,925,47.3
223,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Illinois,"5,732",37.6
224,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Indiana,"4,375",55.2
225,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Iowa,"1,939",46.5
226,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Kansas,"1,832",51.7
227,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Kentucky,"3,480",64.5
228,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Louisiana,"2,467",46.6
229,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Maine,982,48.7
230,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Maryland,"2,079",29.9
231,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Massachusetts,"2,842",32.5
232,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Michigan,"5,688",44.3
233,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Minnesota,"2,464",36.3
234,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Mississippi,"2,037",58.3
235,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Missouri,"3,940",50.7
236,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Montana,752,53.5
237,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Nebraska,"1,224",52.6
238,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Nevada,"1,633",50
239,2017,Chronic lower respiratory diseases (J40-J47),CLRD,New Hampshire,755,43
240,2017,Chronic lower respiratory diseases (J40-J47),CLRD,New Jersey,"3,227",28.6
241,2017,Chronic lower respiratory diseases (J40-J47),CLRD,New Mexico,"1,143",44.2
242,2017,Chronic lower respiratory diseases (J40-J47),CLRD,New York,"7,258",28.9
243,2017,Chronic lower respiratory diseases (J40-J47),CLRD,North Carolina,"5,540",45.3
244,2017,Chronic lower respiratory diseases (J40-J47),CLRD,North Dakota,358,38.3
245,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Ohio,"7,312",48.5
246,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Oklahoma,"3,035",65.9
247,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Oregon,"2,088",39.7
248,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Pennsylvania,"6,667",37.1
249,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Rhode Island,521,36.2
250,2017,Chronic lower respiratory diseases (J40-J47),CLRD,South Carolina,"2,983",47.9
251,2017,Chronic lower respiratory diseases (J40-J47),CLRD,South Dakota,505,45.3
252,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Tennessee,"4,657",57.4
253,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Texas,"10,650",40.5
254,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Utah,826,32.1
255,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Vermont,375,43
256,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Virginia,"3,363",34.9
257,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Washington,"3,177",38.1
258,2017,Chronic lower respiratory diseases (J40-J47),CLRD,West Virginia,"1,681",64.3
259,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Wisconsin,"2,834",38.3
260,2017,Chronic lower respiratory diseases (J40-J47),CLRD,Wyoming,366,53.8
261,2017,Diabetes mellitus (E10-E14),Diabetes,United States,"83,564",21.5
262,2017,Diabetes mellitus (E10-E14),Diabetes,Alabama,"1,173",19.8
263,2017,Diabetes mellitus (E10-E14),Diabetes,Alaska,130,19.3
264,2017,Diabetes mellitus (E10-E14),Diabetes,Arizona,"2,054",23.7
265,2017,Diabetes mellitus (E10-E14),Diabetes,Arkansas,"1,180",32.4
266,2017,Diabetes mellitus (E10-E14),Diabetes,California,"9,595",22.1
267,2017,Diabetes mellitus (E10-E14),Diabetes,Colorado,"1,017",17.2
268,2017,Diabetes mellitus (E10-E14),Diabetes,Connecticut,694,14.5
269,2017,Diabetes mellitus (E10-E14),Diabetes,Delaware,244,19.1
270,2017,Diabetes mellitus (E10-E14),Diabetes,District of Columbia,138,20.1
271,2017,Diabetes mellitus (E10-E14),Diabetes,Florida,"6,172",20.2
272,2017,Diabetes mellitus (E10-E14),Diabetes,Georgia,"2,348",21.5
273,2017,Diabetes mellitus (E10-E14),Diabetes,Hawaii,299,15.9
274,2017,Diabetes mellitus (E10-E14),Diabetes,Idaho,394,20.3
275,2017,Diabetes mellitus (E10-E14),Diabetes,Illinois,"2,927",19.2
276,2017,Diabetes mellitus (E10-E14),Diabetes,Indiana,"2,096",26.6
277,2017,Diabetes mellitus (E10-E14),Diabetes,Iowa,918,22.8
278,2017,Diabetes mellitus (E10-E14),Diabetes,Kansas,874,25.2
279,2017,Diabetes mellitus (E10-E14),Diabetes,Kentucky,"1,474",27.7
280,2017,Diabetes mellitus (E10-E14),Diabetes,Louisiana,"1,272",23.9
281,2017,Diabetes mellitus (E10-E14),Diabetes,Maine,395,19.8
282,2017,Diabetes mellitus (E10-E14),Diabetes,Maryland,"1,439",20.3
283,2017,Diabetes mellitus (E10-E14),Diabetes,Massachusetts,"1,321",15.1
284,2017,Diabetes mellitus (E10-E14),Diabetes,Michigan,"2,798",22.1
285,2017,Diabetes mellitus (E10-E14),Diabetes,Minnesota,"1,312",19.3
286,2017,Diabetes mellitus (E10-E14),Diabetes,Mississippi,"1,164",33.3
287,2017,Diabetes mellitus (E10-E14),Diabetes,Missouri,"1,605",21
288,2017,Diabetes mellitus (E10-E14),Diabetes,Montana,292,21.6
289,2017,Diabetes mellitus (E10-E14),Diabetes,Nebraska,575,25
290,2017,Diabetes mellitus (E10-E14),Diabetes,Nevada,609,18.3
291,2017,Diabetes mellitus (E10-E14),Diabetes,New Hampshire,340,19.2
292,2017,Diabetes mellitus (E10-E14),Diabetes,New Jersey,"1,908",16.9
293,2017,Diabetes mellitus (E10-E14),Diabetes,New Mexico,673,26.5
294,2017,Diabetes mellitus (E10-E14),Diabetes,New York,"4,176",16.8
295,2017,Diabetes mellitus (E10-E14),Diabetes,North Carolina,"2,903",23.6
296,2017,Diabetes mellitus (E10-E14),Diabetes,North Dakota,194,21.8
297,2017,Diabetes mellitus (E10-E14),Diabetes,Ohio,"3,740",25.2
298,2017,Diabetes mellitus (E10-E14),Diabetes,Oklahoma,"1,398",30.6
299,2017,Diabetes mellitus (E10-E14),Diabetes,Oregon,"1,243",23.9
300,2017,Diabetes mellitus (E10-E14),Diabetes,Pennsylvania,"3,704",21.1
301,2017,Diabetes mellitus (E10-E14),Diabetes,Rhode Island,275,18.8
302,2017,Diabetes mellitus (E10-E14),Diabetes,South Carolina,"1,535",24.5
303,2017,Diabetes mellitus (E10-E14),Diabetes,South Dakota,263,24.9
304,2017,Diabetes mellitus (E10-E14),Diabetes,Tennessee,"1,915",24
305,2017,Diabetes mellitus (E10-E14),Diabetes,Texas,"5,832",21.2
306,2017,Diabetes mellitus (E10-E14),Diabetes,Utah,596,22.9
307,2017,Diabetes mellitus (E10-E14),Diabetes,Vermont,163,19.2
308,2017,Diabetes mellitus (E10-E14),Diabetes,Virginia,"1,967",20.1
309,2017,Diabetes mellitus (E10-E14),Diabetes,Washington,"1,812",21.6
310,2017,Diabetes mellitus (E10-E14),Diabetes,West Virginia,864,34
311,2017,Diabetes mellitus (E10-E14),Diabetes,Wisconsin,"1,433",19.4
312,2017,Diabetes mellitus (E10-E14),Diabetes,Wyoming,121,18.1
313,2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,United States,"647,457",165
314,2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,"13,110",223.2
315,2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alaska,814,135
316,2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Arizona,"12,398",141.9
317,2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Arkansas,"8,270",223.8
318,2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,California,"62,797",142.9
319,2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Colorado,"7,060",122.7
320,2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Connecticut,"7,138",141.6
321,2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Delaware,"1,990",158.4
322,2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,District of Columbia,"1,284",189.8
323,2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Florida,"46,440",145.8
324,2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Georgia,"18,389",175.8
325,2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Hawaii,"2,575",129.8
326,2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Idaho,"3,084",162.5
327,2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Illinois,"25,394",163.3
328,2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Indiana,"14,445",183.2
